Inventory ID,Host Name,Data Gateway,MAC Address,Encryption,UUID,Serial Number,Connectivity Reachability Check,Syslog Format,Product Type,Device Type,Credential Profile,Admin State,Connectivity Type,Connectivity IP,Connectivity Port,"	Connectivity Timeout",Connectivity Encoding,Tags,Software Type,Software Version,Product Family,Product Series,Manufacturer,Longitude,Latitude,Altitude,Building,Street,City,State,Country,Region,Zip,ISIS System ID,OSPF Router ID,TE Router ID,Router Loopback,Vrf,Source Interface ,Capability,Provider Name,Provider Type,Provider Node Id,Architecture,Cli Cache Enabled
,Node-1,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.1/32;198.19.1.1/32;198.19.1.1/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-87.6244212,41.8755616,,,,,,,,,,,198.19.1.1,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-1,undefined,undefined
,Node-2.demo.dcloud.cisco.com,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,CiscoC8000V,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.2/32;198.19.1.2/32;198.19.1.2/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;clock-drift-check;topo-snmp,IOS XE,17.6.1a,Cloud Services Routers,Cloud Routers Series,Cisco Systems Inc.,-73.9871558,40.7308619,,,,,,,,,,,198.19.1.2,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-2,undefined,undefined
,Node-3,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.3/32;198.19.1.3/32;198.19.1.3/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-84.3901849,33.7490987,,,,,,,,,,,198.19.1.3,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-3,undefined,undefined
,Node-4,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,CISCO-XRv9000,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF;GNMI,198.19.1.4/32;198.19.1.4/32;198.19.1.4/32;198.19.1.4/32,22;161;830;57400,120;120;120;60,;;;PROTO,reach-check;snmp;cli;gnmi;te-tunnel-id;clock-drift-check;topo-snmp;mdt,IOS XR,7.3.2,Cisco XRv9K,Cisco XRV9000 Series Virtual Router,Cisco Systems Inc.,-80.1936589,25.7742658,,,,,,,,,,,198.19.1.4,,,,SNMP;YANG_CLI;YANG_MDT;GNMI,nso201,ROBOT_PROVIDER_NSO,Node-4,undefined,undefined
,Node-5,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,CISCO-XRv9000,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF;GNMI,198.19.1.5/32;198.19.1.5/32;198.19.1.5/32;198.19.1.5/32,22;161;830;57400,120;120;120;60,;;;PROTO,reach-check;snmp;cli;gnmi;te-tunnel-id;clock-drift-check;topo-snmp;mdt,IOS XR,7.3.2,Cisco XRv9K,Cisco XRV9000 Series Virtual Router,Cisco Systems Inc.,-122.3300624,47.6038321,,,,,,,,,,,198.19.1.5,,,,SNMP;YANG_CLI;YANG_MDT;GNMI,nso201,ROBOT_PROVIDER_NSO,Node-5,undefined,undefined
,Node-7,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.7/32;198.19.1.7/32;198.19.1.7/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-95.3676974,29.7589382,,,,,,,,,,,198.19.1.7,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-7,undefined,undefined
,Node-8,,,,,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.8/32;198.19.1.8/32;198.19.1.8/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-104.9848623,39.7392364,,,,,,,,,,,198.19.1.8,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-8,undefined,undefined
