Inventory ID,Host Name,Data Gateway,MAC Address,Encryption,UUID,Serial Number,Connectivity Reachability Check,Syslog Format,Product Type,Device Type,Credential Profile,Admin State,Connectivity Type,Connectivity IP,Connectivity Port,"	Connectivity Timeout",Connectivity Encoding,Tags,Software Type,Software Version,Product Family,Product Series,Manufacturer,Longitude,Latitude,Altitude,Building,Street,City,State,Country,Region,Zip,ISIS System ID,OSPF Router ID,TE Router ID,Router Loopback,Vrf,Source Interface ,Capability,Provider Name,Provider Type,Provider Node Id,Architecture,Cli Cache Enabled
,Node-1,fc27397d-9a09-4ada-985b-fb77c68462e7,,,a6e290ca-81fd-4da5-a0b5-6acb7e609d10,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.1/32;198.19.1.1/32;198.19.1.1/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-87.6244212,41.8755616,,,,,,,,,,,198.19.1.1,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-1,undefined,undefined
,Node-2.demo.dcloud.cisco.com,fc27397d-9a09-4ada-985b-fb77c68462e7,,,23068be2-834d-4d72-9131-f498ac8074d4,,REACH_CHECK_ENABLE,RFC_UNKNOWN,CiscoC8000V,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.2/32;198.19.1.2/32;198.19.1.2/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;clock-drift-check;topo-snmp,IOS XE,17.6.1a,Cloud Services Routers,Cloud Routers Series,Cisco Systems Inc.,-73.9871558,40.7308619,,,,,,,,,,,198.19.1.2,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-2,undefined,undefined
,Node-3,fc27397d-9a09-4ada-985b-fb77c68462e7,,,3247a1a2-3fb6-4709-a39e-7ebba5e61fe3,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.3/32;198.19.1.3/32;198.19.1.3/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-84.3901849,33.7490987,,,,,,,,,,,198.19.1.3,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-3,undefined,undefined
,Node-4,fc27397d-9a09-4ada-985b-fb77c68462e7,,,e2021989-0132-45c1-bb79-540e58f7e2a3,,REACH_CHECK_ENABLE,RFC_UNKNOWN,CISCO-XRv9000,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF;GNMI,198.19.1.4/32;198.19.1.4/32;198.19.1.4/32;198.19.1.4/32,22;161;830;57400,120;120;120;60,;;;PROTO,reach-check;snmp;cli;gnmi;te-tunnel-id;clock-drift-check;topo-snmp;mdt,IOS XR,7.3.2,Cisco XRv9K,Cisco XRV9000 Series Virtual Router,Cisco Systems Inc.,-80.1936589,25.7742658,,,,,,,,,,,198.19.1.4,,,,SNMP;YANG_CLI;YANG_MDT;GNMI,nso201,ROBOT_PROVIDER_NSO,Node-4,undefined,undefined
,Node-5,fc27397d-9a09-4ada-985b-fb77c68462e7,,,a33aa436-ea91-4fab-8640-6cc973572bdd,,REACH_CHECK_ENABLE,RFC_UNKNOWN,CISCO-XRv9000,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF;GNMI,198.19.1.5/32;198.19.1.5/32;198.19.1.5/32;198.19.1.5/32,22;161;830;57400,120;120;120;60,;;;PROTO,reach-check;snmp;cli;gnmi;te-tunnel-id;clock-drift-check;topo-snmp;mdt,IOS XR,7.3.2,Cisco XRv9K,Cisco XRV9000 Series Virtual Router,Cisco Systems Inc.,-122.3300624,47.6038321,,,,,,,,,,,198.19.1.5,,,,SNMP;YANG_CLI;YANG_MDT;GNMI,nso201,ROBOT_PROVIDER_NSO,Node-5,undefined,undefined
,Node-7,fc27397d-9a09-4ada-985b-fb77c68462e7,,,da8d4823-7c1c-473e-9e67-621ad372e183,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.7/32;198.19.1.7/32;198.19.1.7/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-95.3676974,29.7589382,,,,,,,,,,,198.19.1.7,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-7,undefined,undefined
,Node-8,fc27397d-9a09-4ada-985b-fb77c68462e7,,,df51ad27-8995-452c-a4be-dadfb6463ca7,,REACH_CHECK_ENABLE,RFC_UNKNOWN,ciscoCRS16S,NODE_TYPE_ROUTER,demo,UP,SSH;SNMP;NETCONF,198.19.1.8/32;198.19.1.8/32;198.19.1.8/32,22;161;830,120;120;120,;;,reach-check;snmp;cli;te-tunnel-id;clock-drift-check;topo-snmp,IOS XR,6.6.3[Default],Cisco XRv Series,Cisco XRV Series Virtual Routers,Cisco Systems Inc.,-104.9848623,39.7392364,,,,,,,,,,,198.19.1.8,,,,SNMP;YANG_CLI,nso201,ROBOT_PROVIDER_NSO,Node-8,undefined,undefined
